title,startTime,endTime,platform,name_organizer,url_organizer,descriptionSnippet,url,venue,price
UTG's Rumors,2026-04-02T18:00:00-05:00,2026-04-04T17:00:00-05:00,eventbrite,The University Theatre Guild,https://www.eventbrite.com/o/the-university-theatre-guild-29991271544,"Written by Neil Simon, Dir. Kaylie Pasket, Asst. Dir. by Jess Paine",https://www.eventbrite.com/e/utgs-rumors-tickets-1984502200503,"{'name': 'William C. Powers Student Activity Center', 'address': '2201 Speedway, Austin, TX 78712', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 12.51, 'max': 17.85, 'currency': 'USD', 'raw': 'USD 12.51 - 17.85'}"
PMP® Exam Prep Certification Training (Austin) - 4 Fridays (Weekly),2026-04-03T08:00:00-05:00,2026-04-24T17:00:00-05:00,eventbrite,Canstead Learning,https://www.eventbrite.com/o/canstead-learning-115402162741,"4-Day PMP® Exam Prep: 35 PDUs, PMI®-Authorized training with 250+ practice questions. Join Live Virtual or In-Person.",https://www.eventbrite.com/e/pmp-exam-prep-certification-training-austin-4-fridays-weekly-tickets-1982054096157,"{'name': '316 W 12th St', 'address': '316 West 12th Street, Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 1095.6, 'currency': 'USD', 'raw': 'USD 1095.6'}"
Discover Austin's Colorful Food Scene - Food Tour in Austin | Cozymeal™,2026-04-03T11:00:00-05:00,2026-04-03T14:00:00-05:00,eventbrite,Cozymeal,https://www.eventbrite.com/o/cozymeal-46046403233,,https://www.eventbrite.com/e/discover-austins-colorful-food-scene-food-tour-in-austin-cozymealtm-tickets-1979627360726,"{'name': 'Location provided after booking', 'address': 'Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': True, 'currency': 'USD', 'raw': 'Free'}"
Austin Bachelorette Party & Bachelor Party Bar Crawl-Bach Bar Crawl Austin,2026-04-03T16:00:00-05:00,2026-04-03T22:00:00-05:00,eventbrite,Bach Bar Bar Crawl,https://www.eventbrite.com/o/bach-bar-bar-crawl-83313116853,"Get set to kick off your Austin Bachelorette Party bash, Bachelor Party Bach, Girls' night out, or Guys' night out with the Bach Bar Craw.",https://www.eventbrite.com/e/austin-bachelorette-party-bachelor-party-bar-crawl-bach-bar-crawl-austin-tickets-1297150866159,"{'name': ""Maggie Mae's"", 'address': '323 East 6th Street, Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 15.85, 'max': 29.71, 'currency': 'USD', 'raw': 'USD 15.85 - 29.71'}"
SolarPunk Summit Presents: Mose & KR3TURE Inner Vision,2026-04-03T18:00:00-05:00,2026-04-03T23:00:00-05:00,eventbrite,R3Z: A Conscious Event Production Company,https://www.eventbrite.com/o/r3z-a-conscious-event-production-company-33176461887,"That Fire Horse energy is coming in hot. Join Mose, KR3TURE, & fam to activate your Inner Vision in a potent field of music and connection",https://www.eventbrite.com/e/solarpunk-summit-presents-mose-kr3ture-inner-vision-tickets-1984089009638,"{'name': 'Bathe', 'address': '2922 East Cesar Chavez Street, Austin, TX 78702', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 65.53, 'max': 82.85, 'currency': 'USD', 'raw': 'USD 65.53 - 82.85'}"
UTG's Rumors,2026-04-03T18:00:00-05:00,2026-04-03T21:00:00-05:00,eventbrite,The University Theatre Guild,https://www.eventbrite.com/o/the-university-theatre-guild-29991271544,"Written by Neil Simon, Dir. Kaylie Pasket, Asst. Dir. by Jess Paine",https://www.eventbrite.com/e/utgs-rumors-tickets-1984502269710,"{'name': 'William C. Powers Student Activity Center', 'address': '2201 Speedway, Austin, TX 78712', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 12.51, 'max': 17.85, 'currency': 'USD', 'raw': 'USD 12.51 - 17.85'}"
Top Flight Comedy Presents: Daywalkers Comedy Show,2026-04-03T18:00:00-05:00,2026-04-03T19:30:00-05:00,eventbrite,Top Flight Comedy,https://www.eventbrite.com/o/top-flight-comedy-78517158513,"Tired of late shows? Daywalkers features comics from Netflix, The Comedy Mothership, Cap City, Kill Tony, Skankfest & more",https://www.eventbrite.com/e/top-flight-comedy-presents-daywalkers-comedy-show-tickets-1978302488999,"{'name': 'East Austin Comedy', 'address': '2505 East 6th Street, #Suite D, Austin, TX 78702', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 9.85, 'max': 17.85, 'currency': 'USD', 'raw': 'USD 9.85 - 17.85'}"
Assorted Potions,2026-04-03T18:30:00-05:00,2026-04-03T22:00:00-05:00,eventbrite,Captain Quack's Soundspace,https://www.eventbrite.com/o/captain-quacks-soundspace-29335496025,An evening with Assorted Potions and more!,https://www.eventbrite.com/e/assorted-potions-tickets-1977729647615,"{'name': ""Captain Quack's Soundspace"", 'address': '5326 Menchaca Road, Austin, TX 78745', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 13.72, 'currency': 'USD', 'raw': 'USD 13.72'}"
"APRIL 3rd: Black Smurf Live in Austin, TX with WIFIGAWD",2026-04-03T19:00:00-05:00,2026-04-03T23:30:00-05:00,eventbrite,AEROLIFESHOWS,https://www.eventbrite.com/o/aerolifeshows-37990634843,"APRIL 3rd: Black Smurf Live in Austin, TX with WIFIGAWD",https://www.eventbrite.com/e/april-3rd-black-smurf-live-in-austin-tx-with-wifigawd-tickets-1983329884073,"{'name': 'Brushy Street Commons', 'address': '501 Brushy Street, Austin, TX 78702', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 55.2, 'currency': 'USD', 'raw': 'USD 55.2'}"
"YSN BARIO live in Austin, TX April 3rd",2026-04-03T19:00:00-05:00,2026-04-03T23:59:00-05:00,eventbrite,,https://www.eventbrite.com/o/37990493863,"YSN BARIO live in Austin, TX April 3rd",https://www.eventbrite.com/e/ysn-bario-live-in-austin-tx-april-3rd-tickets-1983906693325,"{'name': 'Brushy Street Commons', 'address': '501 Brushy Street, Austin, TX 78702', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 36.64, 'currency': 'USD', 'raw': 'USD 36.64'}"
